313	Caravaca de la Cruz	25 722	 Región de Murcia
314	Puebla de Vallbona	25 625	Valencia	 Comunidad Valenciana
315	Novelda	25 592	Alicante	 Comunidad Valenciana
316	Almonte	25 448	 Huelva	 Andalucía
317	Ciempozuelos	25 383	 Comunidad de Madrid
318	Tomares	25 341	 Sevilla	 Andalucía
319	Adra	25 300	 Almería	 Andalucía
320	Oliva	25 179	Valencia	 Comunidad Valenciana
321	Cuart de Poblet	25 167	Valencia	 Comunidad Valenciana
322	Alboraya	25 149	Valencia	 Comunidad Valenciana
323	Onda	25 099	Castellón	 Comunidad Valenciana
324	Castellar del Vallés	24 933	 Barcelona	 Cataluña
325	Villarrobledo	24 886	 Albacete	 Castilla-La Mancha
326	Torrelodones	24 775	 Comunidad de Madrid
327	Valls	24 727	 Tarragona	 Cataluña
328	Calahorra	24 654	 La Rioja
329	Armilla	24 629	 Granada	 Andalucía
330	Tacoronte	24 592	Santa Cruz de Tenerife	 Canarias
331	Gáldar	24 567	Las Palmas	 Canarias
332	Cambre	24 505	La Coruña	 Galicia
333	San Juan de Alicante	24 450	Alicante	 Comunidad Valenciana
334	Erandio	24 446	 Vizcaya	 País Vasco
335	Martos	24 329	 Jaén	 Andalucía
336	Coín	24 309	 Málaga	 Andalucía
337	Olesa de Montserrat	24 272	 Barcelona	 Cataluña
338	Almansa	24 224	 Albacete	 Castilla-La Mancha
339	Calpe	24 098	Alicante	 Comunidad Valenciana
340	Los Barrios	24 069	 Cádiz	 Andalucía
341	Liria	24 036	Valencia	 Comunidad Valenciana
342	Marín	24 034	 Pontevedra	 Galicia
343	Mairena del Alcor	23 938	 Sevilla	 Andalucía
344	Mejorada del Campo	23 897	 Comunidad de Madrid
345	El Masnou	23 829	 Barcelona	 Cataluña
346	Ibi	23 677	Alicante	 Comunidad Valenciana
347	Icod de los Vinos	23 498	Santa Cruz de Tenerife	 Canarias
348	Conil de la Frontera	23 497	 Cádiz	 Andalucía
349	Teguise	23 411	Las Palmas	 Canarias
350	Palafrugell	23 396	Gerona	 Cataluña
351	Zarauz	23 101	 Guipúzcoa	 País Vasco
352	Ribarroja del Turia	23 050	Valencia	 Comunidad Valenciana
353	Puenteareas	23 049	 Pontevedra	 Galicia
354	Altea	23 010	Alicante	 Comunidad Valenciana
355	Pilar de la Horadada	22 949	Alicante	 Comunidad Valenciana
356	Cullera	22 937	Valencia	 Comunidad Valenciana
357	Barbate	22 872	 Cádiz	 Andalucía
358	Villanueva de la Cañada	22 845	 Comunidad de Madrid
359	Alhama de Murcia	22 691	 Región de Murcia
360	Vilaseca	22 681	 Tarragona	 Cataluña
361	Moguer	22 643	 Huelva	 Andalucía
362	Laguna de Duero	22 642	 Valladolid	 Castilla y León
363	Bormujos	22 536	 Sevilla	 Andalucía
364	Montilla	22 490	 Córdoba	 Andalucía
365	Esparraguera	22 365	 Barcelona	 Cataluña
366	Las Gabias	22 312	 Granada	 Andalucía
367	Maracena	22 293	 Granada	 Andalucía
368	Castrillón	22 235	 Principado de Asturias
369	San Feliú de Guíxols	22 149	Gerona	 Cataluña
370	San Juan de Aznalfarache	22 138	 Sevilla	 Andalucía
371	Priego de Córdoba	22 092	 Córdoba	 Andalucía
372	Aljaraque	22 078	 Huelva	 Andalucía
373	Las Torres de Cotillas	21 980	 Región de Murcia
374	San Miguel de Abona	21 915	Santa Cruz de Tenerife	 Canarias
375	Moncada	21 913	Valencia	 Comunidad Valenciana
376	Amposta	21 807	 Tarragona	 Cataluña
377	Valle de Egüés	21 795	 Navarra
378	Picasent	21 761	Valencia	 Comunidad Valenciana
379	Mondragón	21 760	 Guipúzcoa	 País Vasco
380	Ayamonte	21 725	 Huelva	 Andalucía
381	Guía de Isora	21 711	Santa Cruz de Tenerife	 Canarias
382	Alcalá la Real	21 556	 Jaén	 Andalucía
383	Isla Cristina	21 523	 Huelva	 Andalucía
384	Alfafar	21 480	Valencia	 Comunidad Valenciana
385	Nerja	21 450	 Málaga	 Andalucía
386	Almoradí	21 401	Alicante	 Comunidad Valenciana
387	Arroyo de la Encomienda	21 369	 Valladolid	 Castilla y León
388	Güímar	21 224	Santa Cruz de Tenerife	 Canarias
389	Aspe	21 191	Alicante	 Comunidad Valenciana
390	Tías	21 083	Las Palmas	 Canarias
391	Vilasar de Mar	21 067	 Barcelona	 Cataluña
392	Manlleu	20 883	 Barcelona	 Cataluña
393	Palma del Río	20 810	 Córdoba	 Andalucía
394	Algete	20 767	 Comunidad de Madrid
395	Pájara	20 751	Las Palmas	 Canarias
396	Alcudia	20 717	 Islas Baleares
397	Cartaya	20 717	 Huelva	 Andalucía
398	Alfaz del Pi	20 668	Alicante	 Comunidad Valenciana
399	La Unión	20 656	 Región de Murcia
400	Loja	20 555	 Granada	 Andalucía
401	Los Llanos de Aridane	20 551	Santa Cruz de Tenerife	 Canarias
402	Carcagente	20 498	Valencia	 Comunidad Valenciana
403	Porriño	20 408	 Pontevedra	 Galicia
404	Burlada	20 398	 Navarra
405	Baza	20 375	 Granada	 Andalucía
406	Hernani	20 375	 Guipúzcoa	 País Vasco
407	Mogán	20 331	Las Palmas	 Canarias
408	Las Franquesas del Vallés	20 322	 Barcelona	 Cataluña
409	Lalín	20 201	 Pontevedra	 Galicia
410	Puzol	20 191	Valencia	 Comunidad Valenciana
411	Medina del Campo	20 183	 Valladolid	 Castilla y León
412	Bañolas	20 187	Gerona	 Cataluña
413	San Quirico de Tarrasa	20 180	 Barcelona	 Cataluña
414	La Estrada	20 106	 Pontevedra	 Galicia
415	Cabra	20 097	 Córdoba	 Andalucía
416	Huércal-Overa	20 093	 Almería	 Andalucía
417	Requena	20 058	Valencia	 Comunidad Valenciana
418	Torrox	19 997	 Málaga	 Andalucía
419	San Martín de la Vega	19 927	 Comunidad de Madrid
420	Rosas	19 907	Gerona	 Cataluña
421	Tolosa	19 886	 Guipúzcoa	 País Vasco
422	Humanes de Madrid	19 838	 Comunidad de Madrid
423	San Justo Desvern	19 806	 Barcelona	 Cataluña
424	Calatayud	19 776	 Zaragoza	 Aragón
425	Archena	19 622	 Región de Murcia
426	La Zubia	19 593	 Granada	 Andalucía
427	Chipiona	19 592	 Cádiz	 Andalucía
428	Amorebieta-Echano	19 587	 Vizcaya	 País Vasco
429	Barañáin	19 537	 Navarra
430	Benicasim	19 507	Castellón	 Comunidad Valenciana
431	Arahal	19 476	 Sevilla	 Andalucía
432	Moaña	19 474	 Pontevedra	 Galicia
433	Atarfe	19 452	 Granada	 Andalucía
434	Calella	19 363	 Barcelona	 Cataluña
435	Callosa de Segura	19 315	Alicante	 Comunidad Valenciana
436	Silla	19 298	Valencia	 Comunidad Valenciana
437	Marchena	19 264	 Sevilla	 Andalucía
438	Albolote	19 199	 Granada	 Andalucía
439	El Viso del Alcor	19 161	 Sevilla	 Andalucía
440	Malgrat de Mar	19 093	 Barcelona	 Cataluña
441	San Bartolomé	18 989	Las Palmas	 Canarias
442	Boiro	18 976	La Coruña	 Galicia
443	Lasarte-Oria	18 949	 Guipúzcoa	 País Vasco
444	Teo	18 918	La Coruña	 Galicia
445	Parets	18 889	 Barcelona	 Cataluña
446	Utebo	18 881	 Zaragoza	 Aragón
447	Cardedeu	18 785	 Barcelona	 Cataluña
448	Baena	18 764	 Córdoba	 Andalucía
449	La Nucía	18 624	Alicante	 Comunidad Valenciana
450	Villaquilambre	18 589	 León	 Castilla y León
451	Tarifa	18 564	 Cádiz	 Andalucía
452	La Eliana	18 544	Valencia	 Comunidad Valenciana
453	Guadix	18 493	 Granada	 Andalucía
454	San Lorenzo de El Escorial	18 423	 Comunidad de Madrid
455	Lora del Río	18 417	 Sevilla	 Andalucía
456	Huércal de Almería	18 384	 Almería	 Andalucía
457	Felanich	18 357	 Islas Baleares
458	Santa Brígida	18 341	Las Palmas	 Canarias
459	San Celoni	18 285	 Barcelona	 Cataluña
460	Vera	18 224	 Almería	 Andalucía
461	El Astillero	18 153	 Cantabria
462	Palamós	18 145	Gerona	 Cataluña
463	Monforte de Lemos	18 081	 Lugo	 Galicia
464	Nigrán	18 054	 Pontevedra	 Galicia
465	Tordera	18 022	 Barcelona	 Cataluña
466	Caldas de Montbuy	17 932	 Barcelona	 Cataluña
467	Llodio	17 906	 Álava	 País Vasco
468	Tárrega	17 810	Lérida	 Cataluña
469	Sangenjo	17 760	 Pontevedra	 Galicia
470	El Rosario	17 750	Santa Cruz de Tenerife	 Canarias
471	Manzanares	17 738	 Ciudad Real	 Castilla-La Mancha
472	Daimiel	17 680	 Ciudad Real	 Castilla-La Mancha
473	Munguía	17 662	 Vizcaya	 País Vasco
474	Los Alcázares	17 603	 Región de Murcia
475	Fuente Álamo de Murcia	17 589	 Región de Murcia
476	Balaguer	17 460	Lérida	 Cataluña
477	Osuna	17 442	 Sevilla	 Andalucía
478	Villanueva del Pardillo	17 382	 Comunidad de Madrid
479	Bailén	17 377	 Jaén	 Andalucía
480	Benavente	17 376	Zamora	 Castilla y León
481	Tuy	17 375	 Pontevedra	 Galicia
482	Monzón	17 362	 Huesca	 Aragón
483	Poyo	17 276	 Pontevedra	 Galicia
484	Torredembarra	17 256	 Tarragona	 Cataluña
485	Mula	17 231	 Región de Murcia
486	Castilleja de la Cuesta	17 230	 Sevilla	 Andalucía
487	Tabernes de Valldigna	17 222	Valencia	 Comunidad Valenciana
488	Manilva	17 157	 Málaga	 Andalucía
489	Barbastro	17 146	 Huesca	 Aragón
490	Pollensa	17 126	 Islas Baleares
491	Ejea de los Caballeros	17 124	 Zaragoza	 Aragón
492	Pozoblanco	17 102	 Córdoba	 Andalucía
493	Rojales	16 943	Alicante	 Comunidad Valenciana
